,Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque,INTERBLOQUE
51,Heller,Carlos,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
52,Hernández,Estela,CHUBUT,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
53,Herrera,Ricardo,LA RIOJA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
54,Herrera,Bernardo José,SANTIAGO DEL ESTERO,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
55,Igon,Santiago Nicolás,CHUBUT,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
56,Iparraguirre,Rogelio,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
57,Kirchner,Máximo Carlos,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
58,Lampreabe,Florencia,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
59,Landriscini,Susana Graciela,RIO NEGRO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
60,Ledesma,Tomás,ENTRE RIOS,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
61,Leito,Mario,TUCUMAN,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
62,Leiva,Aldo Adolfo,CHACO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
63,Litza,Mónica,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
64,López Rodríguez,Dante,CATAMARCA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
65,Macha,Mónica,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
66,Marín,Varinia Lis,LA PAMPA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
67,Marino,Juan,BUENOS AIRES,02/08/2022,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
68,Martínez,Germán Pedro,SANTA FE,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
69,Martínez,María Rosa,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
70,Marziotta,Gisela,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
71,Masin,María Lucila,CHACO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
72,Massetani,Vanesa Laura,SANTA FE,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
73,Mastaler,Magalí,SANTA FE,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
74,Mirabella,Roberto,SANTA FE,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
75,Moisés,María Carolina,JUJUY,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
76,Montoto,María Luisa,SANTIAGO DEL ESTERO,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
77,Moran,Micaela,BUENOS AIRES,12/10/2022,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
78,Moreau,Cecilia,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
79,Moreau,Leopoldo,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
80,Moyano,Nilda,SANTIAGO DEL ESTERO,16/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
81,Navarro,Graciela,SANTIAGO DEL ESTERO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
82,Neder,Estela Mary,SANTIAGO DEL ESTERO,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
83,Obeid,Alejandra del Huerto,SANTA FE,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
84,Ormachea,Claudia Beatriz,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
85,Osuna,Blanca Inés,ENTRE RIOS,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
86,Palazzo,Sergio Omar,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
87,Paponet,Liliana,MENDOZA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
88,Parola,María Graciela,FORMOSA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
89,Passo,Marcela Fabiana,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
90,Pedrali,Gabriela,LA RIOJA,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
91,Pedrini,Juan Manuel,CHACO,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
92,Penacca,Paula Andrea,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
93,Pereyra,Julio,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
94,Pérez Araujo,Hernán,LA PAMPA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
95,Perez Plaza,Eber Albano,MENDOZA,27/03/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
96,Ponce,Carlos Ybrhain,SAN LUIS,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
97,Propato,Agustina Lucrecia,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
98,Romero,Jorge Antonio,CORRIENTES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
99,Sand,Nancy,CORRIENTES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
100,Santoro,Leandro,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
101,Selva,Carlos Américo,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
102,Siley,Vanesa Raquel,BUENOS AIRES,10/12/2021,09/12/2025,FRENTE DE TODOS,FRENTE DE TODOS
103,Souto,Natalia Marcela,BUENOS AIRES,26/10/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
