,Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque,INTERBLOQUE
224,Manzi,Rubén,CATAMARCA,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
225,Martínez Villada,Leonor María,CORDOBA,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
226,Oliveto Lago,Paula,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
227,Stilman,Mariana,BUENOS AIRES,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
228,Zuvic,Mariana,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,COALICIÓN CÍVICA,JUNTOS POR EL CAMBIO
229,Bregman,Myriam,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,PTS - FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
230,Del Caño,Nicolás,BUENOS AIRES,10/12/2021,09/12/2025,PTS - FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
231,Vilca,Alejandro,JUJUY,10/12/2021,09/12/2025,PTS - FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
232,Camaño,Graciela,BUENOS AIRES,10/12/2019,09/12/2023,IDENTIDAD BONAERENSE,FEDERAL
233,Randazzo,Florencio,BUENOS AIRES,10/12/2021,09/12/2025,IDENTIDAD BONAERENSE,FEDERAL
234,Rodríguez,"Alejandro Topo""""",BUENOS AIRES,10/12/2019,09/12/2023,IDENTIDAD BONAERENSE,FEDERAL
235,de la Sota,Natalia,CORDOBA,10/12/2021,09/12/2025,CÓRDOBA FEDERAL,FEDERAL
236,García Aresca,Ignacio,CORDOBA,10/12/2021,09/12/2025,CÓRDOBA FEDERAL,FEDERAL
237,Gutiérrez,Carlos Mario,CORDOBA,10/12/2019,09/12/2023,CÓRDOBA FEDERAL,FEDERAL
238,Del Plá,Romina,BUENOS AIRES,10/12/2021,09/12/2025,PARTIDO OBRERO – FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
239,Di Giacomo,Luis,RIO NEGRO,10/12/2019,09/12/2023,JUNTOS SOMOS RIO NEGRO,PROVINCIAS UNIDAS
240,Domingo,Agustín,RIO NEGRO,10/12/2021,09/12/2025,JUNTOS SOMOS RIO NEGRO,PROVINCIAS UNIDAS
241,Espert,José Luis,BUENOS AIRES,10/12/2021,09/12/2025,AVANZA LIBERTAD,JUNTOS POR EL CAMBIO
242,Estévez,Enrique,SANTA FE,10/12/2019,09/12/2023,SOCIALISTA,FEDERAL
243,Fein,Mónica,SANTA FE,10/12/2021,09/12/2025,SOCIALISTA,FEDERAL
244,Fernández,Carlos Alberto,MISIONES,16/12/2021,09/12/2025,FRENTE DE LA CONCORDIA MISIONERO,PROVINCIAS UNIDAS
245,Sartori,Diego Horacio,MISIONES,10/12/2019,09/12/2023,FRENTE DE LA CONCORDIA MISIONERO,PROVINCIAS UNIDAS
246,Figueroa,Rolando,NEUQUEN,10/12/2021,09/12/2025,MOVIMIENTO POPULAR NEUQUINO,MOVIMIENTO POPULAR NEUQUINO
247,Laciar,Susana Alicia,SAN JUAN,10/12/2021,09/12/2025,PRODUCCION Y TRABAJO,JUNTOS POR EL CAMBIO
248,Orrego,Humberto Marcelo,SAN JUAN,10/12/2019,09/12/2023,PRODUCCION Y TRABAJO,JUNTOS POR EL CAMBIO
249,López Murphy,Ricardo Hipólito,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,REPUBLICANOS UNIDOS,JUNTOS POR EL CAMBIO
250,Milei,Javier Gerardo,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA
251,Villarruel,Victoria,CIUDAD DE BUENOS AIRES,10/12/2021,09/12/2025,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA
252,Omodeo,Paula,TUCUMAN,10/12/2021,09/12/2025,CREO,JUNTOS POR EL CAMBIO
253,Poggi,Claudio Javier,SAN LUIS,10/12/2021,09/12/2025,AVANZAR SAN LUIS,JUNTOS POR EL CAMBIO
254,Zapata,Carlos Raúl,SALTA,10/12/2021,09/12/2025,AHORA PATRIA,JUNTOS POR EL CAMBIO
255,Castets,Laura Carolina,SANTA FE,10/12/2019,09/12/2023,VALORES REPUBLICANOS,JUNTOS POR EL CAMBIO
256,Píparo,Carolina,BUENOS AIRES,10/12/2021,09/12/2025,Buenos Aires Libre,BUENOS AIRES LIBRE
