,Bloque,cantidad
0,FRENTE DE TODOS,68
1,PRO,23
2,UCR,17
3,COALICIÓN CÍVICA,7
4,EVOLUCION RADICAL,4
5,ENCUENTRO FEDERAL,2
6,IDENTIDAD BONAERENSE,2
7,SER - SOMOS ENERGIA PARA RENOVAR,1
8,CÓRDOBA FEDERAL,1
9,JUNTOS SOMOS RIO NEGRO,1
10,SOCIALISTA,1
11,FRENTE DE LA CONCORDIA MISIONERO,1
12,PRODUCCION Y TRABAJO,1
13,VALORES REPUBLICANOS,1
