,Bloque,Cantidad
0,FRENTE NACIONAL Y POPULAR,19
1,UNIÓN CÍVICA RADICAL,18
2,UNIDAD CIUDADANA,12
3,FRENTE PRO,9
4,UNIDAD FEDERAL,5
5,CAMBIO FEDERAL,4
6,PARTIDO POR LA JUSTICIA SOCIAL,1
7,PRODUCCIÓN Y TRABAJO,1
8,MISIONES,1
9,HAY FUTURO ARGENTINA,1
10,JUNTOS SOMOS RÍO NEGRO,1
