,Interbloque,cantidad
0,FRENTE DE TODOS,118
1,JUNTOS POR EL CAMBIO,117
2,FEDERAL,8
3,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4
4,PROVINCIAS UNIDAS,4
5,SER - SOMOS ENERGÍA PARA RENOVAR,2
6,LA LIBERTAD AVANZA,2
7,MOVIMIENTO POPULAR NEUQUINO,1
8,BUENOS AIRES LIBRE,1
