,Unnamed: 0,Apellido,Nombre,Distrito,IniciaMandato,FinalizaMandato,Bloque,INTERBLOQUE
84,84,Ormachea,Claudia Beatriz,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
85,85,Osuna,Blanca Inés,ENTRE RIOS,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
88,88,Parola,María Graciela,FORMOSA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
92,92,Penacca,Paula Andrea,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
94,94,Pérez Araujo,Hernán,LA PAMPA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
95,95,Perez Plaza,Eber Albano,MENDOZA,27/03/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
96,96,Ponce,Carlos Ybrhain,SAN LUIS,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
99,99,Sand,Nancy,CORRIENTES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
101,101,Selva,Carlos Américo,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
103,103,Souto,Natalia Marcela,BUENOS AIRES,26/10/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
104,104,Tailhade,Rodolfo,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
106,106,Uceda,Marisa Lourdes,MENDOZA,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
107,107,Valdes,Eduardo Félix,CIUDAD DE BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
109,109,Verón,Jorge Guillermo,SANTA CRUZ,11/02/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
110,110,Vessvessian,Paola,SANTA CRUZ,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
111,111,Yambrún,Liliana Patricia,BUENOS AIRES,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
112,112,Yapor,Lucio,BUENOS AIRES,26/10/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
116,116,Zaracho,Natalia,BUENOS AIRES,16/12/2021,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
117,117,PENDIENTE DE INCORPORACION,DIPUTADO,JUJUY,10/12/2019,09/12/2023,FRENTE DE TODOS,FRENTE DE TODOS
120,120,Ascarate,Lidia Inés,TUCUMAN,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
121,121,Banfi,Karina,BUENOS AIRES,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
123,123,Bazze,Miguel Ángel,BUENOS AIRES,10/12/2019,09/12/2023,UCR,JUNTOS POR EL CAMBIO
