,Bloque,Cantidad
0,FRENTE NACIONAL Y POPULAR,7
1,UNIÓN CÍVICA RADICAL,6
2,FRENTE PRO,4
3,UNIDAD FEDERAL,2
4,UNIDAD CIUDADANA,2
5,PRODUCCIÓN Y TRABAJO,1
6,MISIONES,1
7,HAY FUTURO ARGENTINA,1
